City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bilma,NE,57.99,clear sky,18.6853,12.9164,Expeditions Ténére voyages
2,Punta Arenas,CL,57.22,clear sky,-53.15,-70.9167,Hotel Hain
4,Praia Da Vitoria,PT,57.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
6,Rawson,AR,60.49,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
8,Esperance,AU,62.44,clear sky,-33.8667,121.9,Hospitality Esperance
9,Port Elizabeth,ZA,66.49,broken clouds,-33.918,25.5701,39 On Nile Guest House
14,Lebu,CL,59.85,clear sky,-37.6167,-73.65,Hostal Las Lilas
15,Ushuaia,AR,53.26,clear sky,-54.8,-68.3,Albatross Hotel
21,New Norfolk,AU,67.75,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
23,Taft,IR,60.75,broken clouds,31.7471,54.2088,بوم گردی حاجی زینل تفت
24,Vila Franca Do Campo,PT,61.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
25,Cidreira,BR,72.37,overcast clouds,-30.1811,-50.2056,Hotel Castelo
27,Busselton,AU,73.96,clear sky,-33.65,115.3333,Observatory Guest House
28,Tocopilla,CL,72.05,few clouds,-22.092,-70.1979,Hotel Galvarino
31,Hobart,AU,67.12,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
32,Bredasdorp,ZA,65.52,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
33,Willowmore,ZA,56.37,scattered clouds,-33.2926,23.4895,Jumper's Place
36,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
41,Mataura,NZ,55.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
49,Flinders,AU,69.19,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
51,Cape Town,ZA,65.88,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
53,Victoria,HK,58.24,overcast clouds,22.2855,114.1577,Mini Hotel Central
58,Taoudenni,ML,67.53,broken clouds,22.6783,-3.9836,
60,Sao Filipe,CV,73.78,clear sky,14.8961,-24.4956,Hotel Xaguate
62,Pringsewu,ID,73.0,overcast clouds,-5.3582,104.9744,Urban Style by Front One
70,Marsh Harbour,BS,74.03,broken clouds,26.5412,-77.0636,Abaco Beach Resort
72,Palora,EC,73.51,light rain,-1.7,-77.9333,Rancho grande
75,Yanam,IN,67.17,scattered clouds,16.7333,82.2167,The Regency Hotel
77,Arlit,NE,58.57,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
81,Callaway,US,53.53,broken clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
88,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
91,Port Alfred,ZA,68.54,overcast clouds,-33.5906,26.891,The Halyards Hotel
94,Salalah,OM,69.06,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
99,Castro,BR,66.15,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
110,Bluff,NZ,55.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
111,Sainte-Maxime,FR,55.99,scattered clouds,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
114,Am Timan,TD,73.63,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
117,Mar Del Plata,AR,70.09,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
119,Bluffton,US,67.05,scattered clouds,32.2371,-80.8604,Holiday Inn Express & Suites Bluffton @ Hilton Head Area
122,Hermanus,ZA,62.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
123,Coquimbo,CL,67.73,clear sky,-29.9533,-71.3436,Hostel Del Puerto
124,Lompoc,US,71.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
129,Huarmey,PE,73.51,few clouds,-10.0681,-78.1522,Hotel Miramar
130,Namibe,AO,72.01,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
131,Naze,JP,52.72,broken clouds,28.3667,129.4833,Shishime Hotel
133,Hurghada,EG,59.04,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
134,Muros,ES,51.1,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
136,Lubango,AO,58.69,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
145,Asfi,MA,63.43,overcast clouds,32.2994,-9.2372,Hôtel Abda
146,Matamoros,MX,51.89,scattered clouds,25.5333,-103.25,Quinta Belem
148,Ongole,IN,71.35,scattered clouds,15.5,80.05,Hotel Kolas
151,East London,ZA,68.88,light rain,-33.0153,27.9116,Tu Casa
154,Saint George,US,51.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
159,Tuatapere,NZ,55.81,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
160,Bitung,ID,72.45,overcast clouds,1.4451,125.1824,K2 Lembeh
162,Riyadh,SA,66.34,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
163,Alice Springs,AU,63.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
164,Qui Nhon,VN,73.24,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
169,Bandar,ID,71.47,overcast clouds,2.05,99.75,
172,Ati,TD,65.73,clear sky,13.2154,18.3353,
176,Zambezi,ZM,63.57,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
180,Guapore,BR,72.39,broken clouds,-28.8456,-51.8903,Hotel Topo Gigio
186,Port Macquarie,AU,69.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
189,Dunedin,NZ,58.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
194,Mecca,SA,59.65,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
