City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vernon,CA,2022-02-03 03:36:16,50.2581,-119.2691,21.61,86,100,2.3
1,Albany,US,2022-02-03 03:37:16,42.6001,-73.9662,43.38,81,100,3.31
2,Bethel,US,2022-02-03 03:37:17,41.3712,-73.414,39.65,90,75,0.0
3,Kamenka,RU,2022-02-03 03:33:52,51.3223,42.7678,31.75,100,100,2.26
4,Longyearbyen,SJ,2022-02-03 03:37:17,78.2186,15.6401,15.64,62,0,11.5
5,Dikson,RU,2022-02-03 03:37:18,73.5069,80.5464,-5.67,95,100,13.02
6,Labuhan,ID,2022-02-03 03:37:18,-6.8844,112.2051,84.96,68,79,7.11
7,Busselton,AU,2022-02-03 03:37:18,-33.65,115.3333,88.05,31,87,8.79
8,New Norfolk,AU,2022-02-03 03:37:19,-42.7826,147.0587,66.65,52,91,4.0
9,Puerto Ayora,EC,2022-02-03 03:36:06,-0.7393,-90.3518,74.55,93,1,5.99
10,Vaini,TO,2022-02-03 03:37:19,-21.2,-175.2,86.16,74,40,5.75
11,Sambava,MG,2022-02-03 03:34:29,-14.2667,50.1667,76.26,80,100,2.86
12,Kodiak,US,2022-02-03 03:33:54,57.79,-152.4072,38.71,87,100,12.66
13,Guasdualito,VE,2022-02-03 03:37:20,7.2424,-70.7324,75.2,78,8,1.14
14,Jamestown,US,2022-02-03 03:37:20,42.097,-79.2353,38.52,65,100,1.99
15,Punta Arenas,CL,2022-02-03 03:35:48,-53.15,-70.9167,44.71,70,75,4.61
16,Hermanus,ZA,2022-02-03 03:37:20,-34.4187,19.2345,65.89,81,0,14.25
17,Torres,BR,2022-02-03 03:37:21,-29.3353,-49.7269,72.82,93,58,9.46
18,Hvolsvollur,IS,2022-02-03 03:37:21,63.7533,-20.2243,19.81,89,93,7.09
19,Chicama,PE,2022-02-03 03:37:21,-7.8447,-79.1469,64.94,72,85,7.14
20,Kalmar,SE,2022-02-03 03:37:22,56.6616,16.3616,27.97,93,75,2.3
21,Columbus,US,2022-02-03 03:33:22,39.9612,-82.9988,41.61,96,100,9.22
22,Ponta Do Sol,PT,2022-02-03 03:37:22,32.6667,-17.1,67.71,69,99,9.69
23,Talovaya,RU,2022-02-03 03:37:22,51.1144,40.73,32.56,99,100,3.74
24,Green River,US,2022-02-03 03:34:02,41.5286,-109.4662,11.19,44,70,4.0
25,Ajdabiya,LY,2022-02-03 03:37:23,30.7554,20.2263,53.53,62,7,13.56
26,Mataura,NZ,2022-02-03 03:37:23,-46.1927,168.8643,57.47,68,100,5.19
27,Les Cayes,HT,2022-02-03 03:37:24,18.2,-73.75,73.44,85,9,3.74
28,Saskylakh,RU,2022-02-03 03:37:24,71.9167,114.0833,-32.39,100,17,2.42
29,Kahului,US,2022-02-03 03:37:24,20.8947,-156.47,81.66,72,20,5.75
30,Namibe,AO,2022-02-03 03:32:48,-15.1961,12.1522,70.57,74,29,7.47
31,Kharp,RU,2022-02-03 03:37:25,66.8014,65.8081,-3.35,99,100,2.51
32,Naze,JP,2022-02-03 03:33:31,28.3667,129.4833,54.52,87,100,19.1
33,Ushuaia,AR,2022-02-03 03:35:48,-54.8,-68.3,42.46,61,75,19.57
34,Zhitnevo,RU,2022-02-03 03:37:28,55.3423,37.9146,19.89,85,93,6.71
35,Ilulissat,GL,2022-02-03 03:37:29,69.2167,-51.1,-0.38,50,20,19.57
36,Ostrovnoy,RU,2022-02-03 03:37:29,68.0531,39.5131,20.1,90,100,14.45
37,Kiunga,PG,2022-02-03 03:37:29,-6.1219,141.2906,93.63,39,98,3.44
38,Chino,US,2022-02-03 03:32:59,34.0122,-117.6889,60.17,21,0,5.01
39,Isangel,VU,2022-02-03 03:37:30,-19.55,169.2667,89.71,66,75,4.61
40,Torbay,CA,2022-02-03 03:36:08,47.6666,-52.7314,24.28,92,40,12.66
41,Yellowknife,CA,2022-02-03 03:34:40,62.456,-114.3525,-28.71,75,40,5.75
42,Muros,ES,2022-02-03 03:37:31,42.7762,-9.0603,53.24,90,100,7.65
43,Imbituba,BR,2022-02-03 03:35:04,-28.24,-48.6703,78.82,90,82,10.67
44,Porto Santo,PT,2022-02-03 03:37:31,33.072,-16.3415,66.31,94,40,5.75
45,Bluff,NZ,2022-02-03 03:37:31,-46.6,168.3333,57.79,61,100,17.05
46,Kandrian,PG,2022-02-03 03:37:32,-6.2167,149.55,82.29,73,100,16.98
47,San Cristobal,VE,2022-02-03 03:36:12,7.7669,-72.225,71.78,61,8,1.54
48,Laguna,US,2022-02-03 03:37:32,38.421,-121.4238,55.24,47,0,1.99
49,Mimoso Do Sul,BR,2022-02-03 03:37:32,-21.0642,-41.3664,72.97,99,100,1.79
50,Mahebourg,MU,2022-02-03 03:37:33,-20.4081,57.7,79.09,94,75,26.46
51,Buala,SB,2022-02-03 03:37:16,-8.145,159.5921,78.78,88,100,13.62
52,Vanavara,RU,2022-02-03 03:35:22,60.34,102.2797,2.86,93,100,3.91
53,Lively,CA,2022-02-03 03:37:33,46.4334,-81.1498,20.21,73,100,8.16
54,Georgetown,MY,2022-02-03 03:37:35,5.4112,100.3354,89.53,80,20,1.01
55,Tuktoyaktuk,CA,2022-02-03 03:37:35,69.4541,-133.0374,-20.2,76,75,12.66
56,Nouadhibou,MR,2022-02-03 03:37:35,20.931,-17.0347,67.98,60,0,10.36
57,Hami,CN,2022-02-03 03:37:36,42.8,93.45,26.55,31,96,0.89
58,Sampit,ID,2022-02-03 03:37:36,-2.5333,112.95,83.64,77,94,1.03
59,Olinda,BR,2022-02-03 03:33:32,-8.0089,-34.8553,82.13,74,40,6.91
60,Jiuquan,CN,2022-02-03 03:37:36,39.7432,98.5174,27.14,26,27,2.59
61,Coria,ES,2022-02-03 03:37:37,39.9879,-6.5377,42.46,84,89,0.74
62,Victoria,HK,2022-02-03 03:37:37,22.2855,114.1577,57.33,81,100,1.01
63,Alatri,IT,2022-02-03 03:37:37,41.7306,13.3402,40.39,59,0,6.91
64,Codrington,AU,2022-02-03 03:37:38,-38.2667,141.9667,61.75,61,99,16.73
65,Zafarabad,IN,2022-02-03 03:37:38,25.7,82.7333,57.22,51,12,11.95
66,Shingu,JP,2022-02-03 03:37:38,33.7333,135.9833,47.39,42,100,10.0
67,Sungairaya,ID,2022-02-03 03:37:38,0.7,108.9,85.91,66,78,5.53
68,Coquimbo,CL,2022-02-03 03:35:52,-29.9533,-71.3436,62.33,88,0,1.14
69,Rodrigues Alves,BR,2022-02-03 03:37:39,-7.738,-72.6509,75.06,86,100,1.99
70,Requena,ES,2022-02-03 03:37:39,39.4883,-1.1004,44.8,46,26,5.93
71,Hofn,IS,2022-02-03 03:37:40,64.2539,-15.2082,30.99,62,100,13.65
72,Macaubas,BR,2022-02-03 03:37:40,-13.0194,-42.6986,70.83,80,53,2.19
73,Blankenberge,BE,2022-02-03 03:37:40,51.3131,3.1323,46.96,84,100,1.01
74,Sulangan,PH,2022-02-03 03:37:41,11.1373,123.7228,81.14,76,100,10.38
