City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tasiilaq,GL,65.6145,-37.6368,19.13,78,100,40.67,overcast clouds
1,Bilma,NE,18.6853,12.9164,57.99,22,3,6.67,clear sky
2,Punta Arenas,CL,-53.15,-70.9167,57.22,62,0,8.05,clear sky
3,Woodward,US,36.4337,-99.3904,36.63,51,0,10.36,clear sky
4,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,94,40,11.79,scattered clouds
5,Rikitea,PF,-23.1203,-134.9692,78.55,71,10,7.87,light rain
6,Rawson,AR,-43.3002,-65.1023,60.49,67,78,23.33,broken clouds
7,Cayenne,GF,4.9333,-52.3333,79.09,88,0,1.99,clear sky
8,Esperance,AU,-33.8667,121.9,62.44,70,2,15.03,clear sky
9,Port Elizabeth,ZA,-33.918,25.5701,66.49,77,75,2.3,broken clouds
10,Saint-Philippe,RE,-21.3585,55.7679,80.15,87,100,25.03,light rain
11,Hofn,IS,64.2539,-15.2082,26.62,59,0,13.8,clear sky
12,Atuona,PF,-9.8,-139.0333,78.66,76,23,16.62,light rain
13,Antalaha,MG,-14.9003,50.2788,75.96,82,100,5.41,light rain
14,Lebu,CL,-37.6167,-73.65,59.85,82,1,18.41,clear sky
15,Ushuaia,AR,-54.8,-68.3,53.26,54,0,17.27,clear sky
16,Butaritari,KI,3.0707,172.7902,82.65,75,17,18.28,few clouds
17,Nikolskoye,RU,59.7035,30.7861,19.29,90,74,11.61,broken clouds
18,Puerto Ayora,EC,-0.7393,-90.3518,82.36,88,83,7.0,broken clouds
19,Warrington,GB,53.3925,-2.5802,42.46,81,25,5.99,scattered clouds
20,Vaini,TO,-21.2,-175.2,78.96,94,75,14.97,light rain
21,New Norfolk,AU,-42.7826,147.0587,67.75,67,38,1.99,scattered clouds
22,Mangalia,RO,43.8,28.5833,38.08,78,21,10.27,few clouds
23,Taft,IR,31.7471,54.2088,60.75,39,75,2.3,broken clouds
24,Vila Franca Do Campo,PT,37.7167,-25.4333,61.2,77,100,10.27,overcast clouds
25,Cidreira,BR,-30.1811,-50.2056,72.37,93,100,5.48,overcast clouds
26,Tsotilion,GR,40.2667,21.3167,26.42,83,3,4.32,clear sky
27,Busselton,AU,-33.65,115.3333,73.96,41,0,2.98,clear sky
28,Tocopilla,CL,-22.092,-70.1979,72.05,69,16,14.79,few clouds
29,Labuhan,ID,-6.8844,112.2051,78.37,84,83,8.34,broken clouds
30,Pangnirtung,CA,66.1451,-65.7125,-18.4,69,75,6.91,broken clouds
31,Hobart,AU,-42.8794,147.3294,67.12,80,75,6.91,broken clouds
32,Bredasdorp,ZA,-34.5322,20.0403,65.52,63,27,10.36,scattered clouds
33,Willowmore,ZA,-33.2926,23.4895,56.37,79,28,10.6,scattered clouds
34,Shingu,JP,33.7333,135.9833,39.9,61,29,16.4,scattered clouds
35,Troitsko-Pechorsk,RU,62.7084,56.1964,-8.16,100,98,0.54,overcast clouds
36,Pisco,PE,-13.7,-76.2167,73.45,68,0,24.16,clear sky
37,Albany,US,42.6001,-73.9662,22.48,87,100,1.01,snow
38,Des Moines,US,41.6005,-93.6091,21.79,59,20,4.0,few clouds
39,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.57,84,45,22.86,scattered clouds
40,Provideniya,RU,64.3833,-173.3,3.63,59,0,12.93,clear sky
41,Mataura,NZ,-46.1927,168.8643,55.47,52,90,4.05,overcast clouds
42,West Plains,US,36.7281,-91.8524,34.63,51,0,8.05,clear sky
43,Itupiranga,BR,-5.1347,-49.3267,75.07,95,93,2.53,overcast clouds
44,Fairbanks,US,64.8378,-147.7164,6.82,62,75,0.0,broken clouds
45,Yellowknife,CA,62.456,-114.3525,-23.58,75,40,3.44,scattered clouds
46,Svetlaya,RU,46.5389,138.3297,4.75,74,62,9.66,broken clouds
47,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,0,18.41,clear sky
48,Poum,NC,-20.2333,164.0167,81.48,82,100,19.93,overcast clouds
49,Flinders,AU,-34.5833,150.8552,69.19,76,93,8.99,light rain
50,Palmer,US,42.1584,-72.3287,31.62,97,100,1.99,mist
51,Cape Town,ZA,-33.9258,18.4232,65.88,64,0,7.0,clear sky
52,Norman Wells,CA,65.282,-126.8329,-16.56,63,75,19.57,broken clouds
53,Victoria,HK,22.2855,114.1577,58.24,78,99,1.99,overcast clouds
54,Beaufort,MY,5.3473,115.7455,78.96,92,98,2.84,overcast clouds
55,Parrita,CR,9.5201,-84.3225,92.97,74,17,5.21,few clouds
56,Margate,GB,51.3813,1.3862,41.95,75,33,1.99,scattered clouds
57,Sakakah,SA,29.9697,40.2064,49.57,68,18,13.69,few clouds
58,Taoudenni,ML,22.6783,-3.9836,67.53,12,70,10.33,broken clouds
59,Upernavik,GL,72.7868,-56.1549,-1.37,98,94,4.79,overcast clouds
60,Sao Filipe,CV,14.8961,-24.4956,73.78,71,0,6.76,clear sky
61,Ozinki,RU,51.1786,49.6769,29.59,99,100,3.44,overcast clouds
62,Pringsewu,ID,-5.3582,104.9744,73.0,99,99,2.75,overcast clouds
63,Hilo,US,19.7297,-155.09,80.62,75,100,5.75,overcast clouds
64,Champerico,GT,14.3,-91.9167,93.74,61,6,12.66,clear sky
